Portfolio,Type,Underlying,Holding,OptionType,ExpirationDate,Strike,CurrentPrice
Straddle,Option,AAPL,1,Call,3/18/2022,165,4.5
Straddle,Option,AAPL,1,Put,3/18/2022,165,4.4
SynLong,Option,AAPL,1,Call,3/18/2022,165,4.5
SynLong,Option,AAPL,-1,Put,3/18/2022,165,4.4
CallSpread,Option,AAPL,1,Call,3/18/2022,165,4.5
CallSpread,Option,AAPL,-1,Call,3/18/2022,175,0.72
PutSpread,Option,AAPL,1,Put,3/18/2022,165,4.4
PutSpread,Option,AAPL,-1,Put,3/18/2022,155,1.6
Stock,Stock,AAPL,1,,,,164.85
Call ,Option,AAPL,1,Call,3/18/2022,165,4.5
Put ,Option,AAPL,1,Put,3/18/2022,165,4.4
CoveredCall,Stock,AAPL,1,,,,164.85
CoveredCall,Option,AAPL,-1,Call,3/18/2022,165,4.5
ProtectedPut,Stock,AAPL,1,,,,164.85
ProtectedPut,Option,AAPL,1,Put,3/18/2022,165,4.4
