Date,Mkt-RF,SMB,HML,RF
20220201,0.87,0.05,0.66,0
20220202,0.49,-1.72,0.71,0
20220203,-2.49,-0.06,2.2,0
20220204,0.89,-0.03,-0.58,0
20220207,-0.25,0.52,0.25,0
20220208,1.02,0.68,-0.27,0
20220209,1.61,0.21,-1.96,0
20220210,-1.69,-0.14,1.21,0
20220211,-1.92,0.62,2.12,0
20220214,-0.35,0.21,-0.61,0
20220215,1.86,1.32,-1.43,0
20220216,-0.02,-0.08,0.33,0
20220217,-2.28,-0.25,1.08,0
20220218,-0.87,-0.09,0.93,0
20220222,-1.18,-0.51,0.12,0
20220223,-1.96,-0.19,1.25,0
20220224,1.88,1.48,-3.85,0
20220225,2.23,-0.4,1.2,0
20220228,0.05,0.64,-0.47,0
