Date,SPY,AAPL,MSFT,BRK-B,CSCO,JNJ
1/14/2022,463.280762,172.849792,309.559937,324.130005,61.360001,166.76947
1/18/2022,455.076233,169.583939,302.025482,320.290009,59.73,166.03421
1/19/2022,450.350922,166.018478,302.704071,314.75,58.900002,165.517517
1/20/2022,445.366425,164.300659,300.977661,311.01001,58.080002,164.195999
1/21/2022,436.623596,162.203354,295.419159,305.220001,56.68,163.81842
1/24/2022,438.477814,161.414337,295.758453,303.730011,56.900002,161.930542
1/25/2022,433.124451,159.576691,287.894714,307.190002,56.110001,166.560822
1/26/2022,432.037842,159.486801,296.097748,309.26001,55.330002,167.306046
1/27/2022,429.904449,159.01741,299.221283,307.670013,54.619999,169.501938
1/28/2022,440.581299,170.113266,307.623932,312.899994,55.610001,170.694275
1/31/2022,448.516632,174.557602,310.338318,313.019989,55.669998,171.191086
2/1/2022,451.547241,174.387817,308.122894,313.959991,55.369999,169.790085
2/2/2022,455.933594,175.616257,312.813171,319.600006,56.169998,171.66803
2/3/2022,445.216888,172.679993,300.628387,315.230011,55.200001,171.658096
2/4/2022,447.310394,172.389999,305.308716,314.98999,55.150002,170.535309
2/7/2022,445.874847,171.660004,300.32901,316.51001,55.169998,169.968933
2/8/2022,449.543457,174.830002,303.931549,321.440002,55.34,170.416061
2/9/2022,456.123016,176.279999,310.56781,322.380005,56.290001,170.39621
2/10/2022,447.928467,172.119995,301.756073,319.850006,54.869999,168.339401
2/11/2022,439.095886,168.639999,294.431213,319.140015,53.900002,166.64032
2/14/2022,437.660339,168.880005,294.391296,314.279999,53.18,164.543777
2/15/2022,444.718445,172.789993,299.850006,316.200012,54.27,166.242859
2/16/2022,445.216888,172.550003,299.5,315.649994,54.25,166.143509
2/17/2022,435.706421,168.880005,290.730011,313.549988,55.77,165.130005
2/18/2022,432.885193,167.300003,287.929993,314.799988,57.209999,163.360001
2/22/2022,428.239624,164.320007,287.720001,314.160004,56.299999,161.139999
2/23/2022,420.643219,160.070007,280.269989,309.98999,54.439999,161.220001
2/24/2022,426.973541,162.740005,294.589996,308.279999,54.73,158.139999
2/25/2022,436.394287,164.850006,297.309998,319.23999,56.040001,166
2/28/2022,435.277771,165.119995,298.790009,321.450012,55.77,164.570007
